generation,experiment_mean,experiment_sd,experiment_sem,experiment_n,simulation_mean,simulation_sd,simulation_sem,simulation_n
0.0,0.0,0.0,0.0,10,1e-05,0.025,0.025,1
0.25,,,,,0.039229746233364116,0.025,0.025,1
0.5,,,,,0.07540530521392201,0.025,0.025,1
0.75,,,,,0.10877251427883575,0.025,0.025,1
1.0,0.1,0.20000000000000004,0.0632455532033676,10,0.13955742285072897,0.025,0.025,1
1.25,,,,,0.16796788520453962,0.025,0.025,1
1.5,,,,,0.19419502502954103,0.025,0.025,1
1.75,,,,,0.21841458210598258,0.025,0.025,1
2.0,0.33571428571428574,0.164789599929419,0.05211104704848864,10,0.2407881505851675,0.025,0.025,1
2.25,,,,,0.261464317598014,0.025,0.025,1
2.5,,,,,0.2805797102148485,0.025,0.025,1
2.75,,,,,0.29825995813341605,0.025,0.025,1
3.0,0.3118298368298368,0.188968124327951,0.059756967804620024,10,0.3146205788783019,0.025,0.025,1
3.25,,,,,0.3297677917489701,0.025,0.025,1
3.5,,,,,0.34379926625157636,0.025,0.025,1
3.75,,,,,0.3568048102880828,0.025,0.025,1
4.0,0.3891142191142192,0.16824563967465053,0.05320394277638861,10,0.36886700295172226,0.025,0.025,1
4.25,,,,,0.3800617763875524,0.025,0.025,1
4.5,,,,,0.39045895081794885,0.025,0.025,1
4.75,,,,,0.400122726502879,0.025,0.025,1
5.0,0.42719474969474963,0.09151319687908725,0.028939013810132825,10,0.4091121361013581,0.025,0.025,1
5.25,,,,,0.41748146062147196,0.025,0.025,1
5.5,,,,,0.42528061188979227,0.025,0.025,1
5.75,,,,,0.43255548423510093,0.025,0.025,1
6.0,0.40834388779435227,0.11893643602937372,0.037611003463573406,10,0.43934827786442354,0.025,0.025,1
6.25,,,,,0.4456977962099112,0.025,0.025,1
6.5,,,,,0.451639719341706,0.025,0.025,1
6.75,,,,,0.45720685537328637,0.025,0.025,1
7.0,0.3577201954056174,0.17328421342451242,0.054797279697218516,10,0.4624293716307175,0.025,0.025,1
7.25,,,,,0.4673350072146496,0.025,0.025,1
7.5,,,,,0.471949268452797,0.025,0.025,1
7.75,,,,,0.4762956086200758,0.025,0.025,1
8.0,0.4608675869499299,0.1184635543470112,0.03746146514556962,10,0.4803955931927257,0.025,0.025,1
8.25,,,,,0.48426905180081353,0.025,0.025,1
8.5,,,,,0.4879342179497917,0.025,0.025,1
8.75,,,,,0.49140785749560145,0.025,0.025,1
9.0,0.48714641839641837,0.08457924370248221,0.026746305287429654,10,0.4947053867785721,0.025,0.025,1
9.25,,,,,0.4978409812484975,0.025,0.025,1
9.5,,,,,0.5008276753462739,0.025,0.025,1
9.75,,,,,0.5036774543458751,0.025,0.025,1
10.0,0.5361285746232352,0.09308624152419925,0.029436454204101344,10,0.5064013388037916,0.025,0.025,1
10.25,,,,,0.5090094622109751,0.025,0.025,1
10.5,,,,,0.5115111423944294,0.025,0.025,1
10.75,,,,,0.5139149471715526,0.025,0.025,1
11.0,0.4745188042257887,0.08840593121444557,0.02795641013058236,10,0.5162287547198346,0.025,0.025,1
11.25,,,,,0.5184598090872854,0.025,0.025,1
11.5,,,,,0.5206147712347214,0.025,0.025,1
11.75,,,,,0.5226997659695625,0.025,0.025,1
12.0,0.504184024916122,0.15889183642675767,0.05024601047154641,10,0.5247204251018375,0.025,0.025,1
12.25,,,,,0.5266819271264814,0.025,0.025,1
12.5,,,,,0.5285890337115292,0.025,0.025,1
12.75,,,,,0.530446123249305,0.025,0.025,1
13.0,0.5003114845363128,0.12958074969957795,0.04097703099628457,10,0.5322572217070125,0.025,0.025,1
13.25,,,,,0.5340260309941032,0.025,0.025,1
13.5,,,,,0.5357559550463002,0.025,0.025,1
13.75,,,,,0.5374501238100704,0.025,0.025,1
14.0,0.5480998049569478,0.10927226572039778,0.03455492447635969,10,0.5391114152965404,0.025,0.025,1
14.25,,,,,0.5407424758602509,0.025,0.025,1
14.5,,,,,0.5423457388456356,0.025,0.025,1
14.75,,,,,0.5439234417326098,0.025,0.025,1
15.0,0.5488906953562125,0.1534250171377292,0.04851725042055918,10,0.545477641902077,0.025,0.025,1
15.25,,,,,0.5470102311324422,0.025,0.025,1
15.5,,,,,0.5485229489292698,0.025,0.025,1
15.75,,,,,0.5500173947820156,0.025,0.025,1
16.0,0.5875821535821536,0.08978764993572384,0.02839334795507583,10,0.5514950394341889,0.025,0.025,1
16.25,,,,,0.552957235246358,0.025,0.025,1
16.5,,,,,0.5544052257250193,0.025,0.025,1
16.75,,,,,0.5558401542844671,0.025,0.025,1
17.0,0.5662519943596139,0.1221466419329877,0.03862615970492732,10,0.5572630723034061,0.025,0.025,1
17.25,,,,,0.5586749465330707,0.025,0.025,1
17.5,,,,,0.5600766659090508,0.025,0.025,1
17.75,,,,,0.5614690478148211,0.025,0.025,1
18.0,0.5455040972418467,0.1568524683500849,0.04960110566057412,10,0.5628528438411068,0.025,0.025,1
18.25,,,,,0.5642287450816671,0.025,0.025,1
18.5,,,,,0.5655973870028107,0.025,0.025,1
18.75,,,,,0.5669593539209558,0.025,0.025,1
19.0,0.606480274111853,0.18041990136920735,0.057053782354962675,10,0.5683151831197808,0.025,0.025,1
19.25,,,,,0.56966536863598,0.025,0.025,1
19.5,,,,,0.5710103647402952,0.025,0.025,1
19.75,,,,,0.5723505891383525,0.025,0.025,1
20.0,0.6272340545413568,0.10282003586742512,0.03427334528914171,9,0.5736864259138582,0.025,0.025,1
20.25,,,,,0.5750182282348915,0.025,0.025,1
20.5,,,,,0.5763463208423609,0.025,0.025,1
20.75,,,,,0.5776710023381626,0.025,0.025,1
21.0,0.4869620811287478,0.22928879497002705,0.07642959832334235,9,0.5789925472891582,0.025,0.025,1
21.25,,,,,0.5803112081618009,0.025,0.025,1
21.5,,,,,0.5816272171010393,0.025,0.025,1
21.75,,,,,0.5829407875660335,0.025,0.025,1
22.0,0.5822687728937729,0.11295621374471694,0.03993605235802322,8,0.5842521158342103,0.025,0.025,1
22.25,,,,,0.5855613823842536,0.025,0.025,1
22.5,,,,,0.5868687531677745,0.025,0.025,1
22.75,,,,,0.5881743807786238,0.025,0.025,1
23.0,0.43782051282051276,0.1590844971043216,0.05624486334205874,8,0.5894784055280832,0.025,0.025,1
23.25,,,,,0.5907809564335125,0.025,0.025,1
23.5,,,,,0.592082152127419,0.025,0.025,1
23.75,,,,,0.5933821016933543,0.025,0.025,1
24.0,0.5904829545454546,0.13013271736881635,0.046008863452861225,8,0.594680905434527,0.025,0.025,1
24.25,,,,,0.5959786555805504,0.025,0.025,1
24.5,,,,,0.5972754369373007,0.025,0.025,1
24.75,,,,,0.5985713274844677,0.025,0.025,1
25.0,0.5395596590909091,0.13036459072804074,0.04609084306520326,8,0.5998663989250081,0.025,0.025,1
25.25,,,,,0.6011607171903711,0.025,0.025,1
25.5,,,,,0.6024543429050584,0.025,0.025,1
25.75,,,,,0.6037473318137901,0.025,0.025,1
26.0,0.6487942612942613,0.19184774480344086,0.06782842065292963,8,0.6050397351742881,0.025,0.025,1
26.25,,,,,0.6063316001184426,0.025,0.025,1
26.5,,,,,0.6076229699844085,0.025,0.025,1
26.75,,,,,0.6089138846219703,0.025,0.025,1
27.0,0.7337301587301587,0.14460787893311305,0.054656640753936205,7,0.6102043806733273,0.025,0.025,1
27.25,,,,,0.611494491831279,0.025,0.025,1
27.5,,,,,0.6127842490766269,0.025,0.025,1
27.75,,,,,0.6140736808964694,0.025,0.025,1
28.0,0.7083333333333334,0.17840600803701567,0.07283394778959386,6,0.6153628134849238,0.025,0.025,1
28.25,,,,,0.6166516709276936,0.025,0.025,1
28.5,,,,,0.6179402753717775,0.025,0.025,1
28.75,,,,,0.6192286471815209,0.025,0.025,1
29.0,0.6166666666666667,0.3711842908553348,0.16599866130651642,5,0.620516805082104,0.025,0.025,1
29.25,,,,,0.6218047662914816,0.025,0.025,1
29.5,,,,,0.6230925466417029,0.025,0.025,1
29.75,,,,,0.6243801606904648,0.025,0.025,1
30.0,0.6833333333333332,0.3171049598406741,0.18308063392537868,3,0.6256676218236881,0.025,0.025,1
30.25,,,,,0.6269549423498352,0.025,0.025,1
30.5,,,,,0.6282421335866368,0.025,0.025,1
30.75,,,,,0.629529205940838,0.025,0.025,1
31.0,0.4583333333333333,0.20833333333333331,0.14731391274719738,2,0.6308161689815255,0.025,0.025,1
31.25,,,,,0.6321030315075515,0.025,0.025,1
31.5,,,,,0.6333898016095325,0.025,0.025,1
31.75,,,,,0.6346764867268553,0.025,0.025,1
32.0,0.5833333333333334,0.25,0.17677669529663687,2,0.6359630937000966,0.025,0.025,1
32.25,,,,,0.6372496288192221,0.025,0.025,1
32.5,,,,,0.6385360978679062,0.025,0.025,1
32.75,,,,,0.6398225061642843,0.025,0.025,1
33.0,0.875,0.125,0.08838834764831843,2,0.6411088585984248,0.025,0.025,1
33.25,,,,,0.6423951596667856,0.025,0.025,1
33.5,,,,,0.643681413503896,0.025,0.025,1
33.75,,,,,0.6449676239114888,0.025,0.025,1
34.0,,,,,0.6462537943852886,0.025,0.025,1
34.25,,,,,0.6475399281396423,0.025,0.025,1
34.5,,,,,0.6488260281301681,0.025,0.025,1
34.75,,,,,0.6501120970745804,0.025,0.025,1
35.0,,,,,0.6513981374718398,0.025,0.025,1
